id,rating,date,author,text
R001,5,2023-10-10,Alice Smith,"Absolutely amazing! The noise cancellation blocks out everything at the office. Best purchase this year."
R002,4,2023-10-12,Bob Johnson,"Great sound profile and very comfortable. Deducting one star because the companion app is a bit clunky."
R003,2,2023-10-15,Charlie D.,"The battery life is nowhere near the advertised 30 hours. I barely get 15. Very disappointed."
R004,5,2023-10-18,Diana P.,"Incredible bass response. They pair instantly with my phone and laptop. Highly recommend!"
R005,1,2023-10-20,Evan W.,"Right earcup stopped working after 2 weeks. Customer service is ignoring my emails. Do not buy."
R006,3,2023-10-22,Fiona G.,"They sound okay, but they feel a bit heavy on the head after wearing them for more than an hour."
R007,4,2023-10-25,George M.,"Solid build quality. The microphone is surprisingly good for Zoom calls, everyone hears me clearly."
R008,5,2023-10-28,Hannah T.,"Love the sleek design and the fast charging feature. 10 minutes of charge really gives you a few hours of playback."
R009,2,2023-11-01,Ian K.,"Bluetooth connection keeps dropping when I walk into another room. My old cheaper headphones had better range."
R010,4,2023-11-05,Julia R.,"Good value for the price point. The touch controls are a little too sensitive though."
